sample_id	TPM	cancer_type	tissue_type	transcript
GTEX-ZVT4-0006-SM-57WB8	0.5271	DLBC	Blood	SPN-205
GTEX-11NSD-0005-SM-5LZZ5	0.8408	DLBC	Blood	SPN-205
GTEX-XMD1-0006-SM-4AT4Q	-2.1779	DLBC	Blood	SPN-205
GTEX-UTHO-0006-SM-3NMCC	2.1862	DLBC	Blood	SPN-205
GTEX-14A5H-0006-SM-5O9AI	0.547	DLBC	Blood	SPN-205
GTEX-14A6H-0006-SM-5NQ7W	2.6019	DLBC	Blood	SPN-205
GTEX-XPVG-0006-SM-4B65Z	-0.9686	DLBC	Blood	SPN-205
GTEX-111YS-0006-SM-5NQBE	0.4865	DLBC	Blood	SPN-205
GTEX-113JC-0006-SM-5O997	-0.4921	DLBC	Blood	SPN-205
GTEX-PWOO-0006-SM-2I3E3	0.9268	DLBC	Blood	SPN-205
GTEX-QMR6-0005-SM-32PKY	-3.816	DLBC	Blood	SPN-205
GTEX-ZXES-0005-SM-57WCB	-0.2671	DLBC	Blood	SPN-205
GTEX-PWN1-0006-SM-5SI7T	1.1117	DLBC	Blood	SPN-205
GTEX-R55F-0005-SM-2TF4W	-0.6193	DLBC	Blood	SPN-205
GTEX-XAJ8-0006-SM-46MVM	0.7916	DLBC	Blood	SPN-205
GTEX-XQ3S-0006-SM-4BOQ4	1.7489	DLBC	Blood	SPN-205
GTEX-WHWD-0005-SM-3LK7D	1.0983	DLBC	Blood	SPN-205
GTEX-U4B1-0006-SM-3DB8E	1.8564	DLBC	Blood	SPN-205
GTEX-11NV4-0005-SM-5N9EX	4.1644	DLBC	Blood	SPN-205
GTEX-14DAQ-0005-SM-5NQ7B	3.3661	DLBC	Blood	SPN-205
GTEX-11EQ9-0006-SM-5LUB6	-2.4659	DLBC	Blood	SPN-205
GTEX-12584-0005-SM-5N9GM	1.196	DLBC	Blood	SPN-205
GTEX-YB5E-0005-SM-4VDSO	0.5069	DLBC	Blood	SPN-205
GTEX-WI4N-0005-SM-3LK7E	0.9716	DLBC	Blood	SPN-205
GTEX-N7MS-0007-SM-26GMV	-0.4521	DLBC	Blood	SPN-205
GTEX-12WSL-0005-SM-5NQAD	0.1648	DLBC	Blood	SPN-205
GTEX-1399R-0006-SM-5N9FR	3.0757	DLBC	Blood	SPN-205
GTEX-Q2AI-0006-SM-2I3FG	0.2881	DLBC	Blood	SPN-205
GTEX-X15G-0005-SM-3NMDA	1.1641	DLBC	Blood	SPN-205
GTEX-1399S-0006-SM-5NQ7U	1.6045	DLBC	Blood	SPN-205
GTEX-1497J-0005-SM-5NQBD	2.5213	DLBC	Blood	SPN-205
GTEX-ZVP2-0005-SM-51MRK	1.0503	DLBC	Blood	SPN-205
GTEX-13OW8-0005-SM-5NQAC	-1.3183	DLBC	Blood	SPN-205
GTEX-1211K-0006-SM-5MR53	-2.1779	DLBC	Blood	SPN-205
GTEX-U3ZG-0006-SM-47JWX	0.1519	DLBC	Blood	SPN-205
GTEX-ZDXO-0006-SM-4WKGF	1.3901	DLBC	Blood	SPN-205
GTEX-11DYG-0006-SM-5NQB2	0.9343	DLBC	Blood	SPN-205
GTEX-QDVJ-0005-SM-2TC5X	3.1572	DLBC	Blood	SPN-205
GTEX-13PLJ-0005-SM-5NQ99	2.1734	DLBC	Blood	SPN-205
GTEX-PSDG-0005-SM-3GADC	1.2934	DLBC	Blood	SPN-205
GTEX-ZVZP-0006-SM-51MSW	-0.013	DLBC	Blood	SPN-205
GTEX-X4XX-0005-SM-3NMCS	1.7702	DLBC	Blood	SPN-205
GTEX-WHPG-0006-SM-3NMBV	-0.5332	DLBC	Blood	SPN-205
GTEX-OXRL-0005-SM-3LK6A	-0.8863	DLBC	Blood	SPN-205
GTEX-13CF3-0006-SM-5N9ED	-3.1714	DLBC	Blood	SPN-205
GTEX-139UC-0005-SM-5PNU7	0.2522	DLBC	Blood	SPN-205
GTEX-WK11-0006-SM-3NB3J	2.5585	DLBC	Blood	SPN-205
GTEX-11ZTS-0005-SM-5NQ8A	1.9034	DLBC	Blood	SPN-205
GTEX-REY6-0005-SM-2TF54	2.1411	DLBC	Blood	SPN-205
GTEX-XMK1-0005-SM-4B665	0.7579	DLBC	Blood	SPN-205
GTEX-N7MT-0007-SM-3GACQ	2.578	DLBC	Blood	SPN-205
GTEX-PLZ4-0006-SM-5SI8L	2.0569	DLBC	Blood	SPN-205
GTEX-ZXG5-0005-SM-57WCN	2.3564	DLBC	Blood	SPN-205
