sample_id	TPM	cancer_type	tissue_type	transcript
GTEX-13S7M-0005-SM-5NQ76	0.1257	DLBC	Blood	SPN-203
GTEX-11GSO-0005-SM-5O9CA	0.6239	DLBC	Blood	SPN-203
GTEX-T5JC-0005-SM-4DM7B	-9.9658	DLBC	Blood	SPN-203
GTEX-V1D1-0006-SM-3NMCE	-9.9658	DLBC	Blood	SPN-203
GTEX-QDVJ-0005-SM-2TC5X	2.1798	DLBC	Blood	SPN-203
GTEX-QLQ7-0005-SM-2S1QP	-9.9658	DLBC	Blood	SPN-203
GTEX-X4XY-0006-SM-46MV2	-1.9379	DLBC	Blood	SPN-203
GTEX-132NY-0005-SM-5O9AC	1.8879	DLBC	Blood	SPN-203
GTEX-ZV68-0006-SM-4YCEJ	2.1862	DLBC	Blood	SPN-203
GTEX-12WSC-0005-SM-5MR3H	3.1162	DLBC	Blood	SPN-203
GTEX-Y8E5-0006-SM-47JWQ	-4.6082	DLBC	Blood	SPN-203
GTEX-ZC5H-0005-SM-4WAXM	-9.9658	DLBC	Blood	SPN-203
GTEX-13FTW-0005-SM-5LZVZ	0.24	DLBC	Blood	SPN-203
GTEX-131XH-0006-SM-5O98V	-0.4131	DLBC	Blood	SPN-203
GTEX-N7MT-0007-SM-3GACQ	2.2813	DLBC	Blood	SPN-203
GTEX-13O61-0005-SM-5O9AU	0.7999	DLBC	Blood	SPN-203
GTEX-11XUK-0005-SM-5LU9F	0.4552	DLBC	Blood	SPN-203
GTEX-Y114-0006-SM-4TT76	-0.0725	DLBC	Blood	SPN-203
GTEX-WHPG-0006-SM-3NMBV	-9.9658	DLBC	Blood	SPN-203
GTEX-PVOW-0006-SM-3NMB8	1.2875	DLBC	Blood	SPN-203
GTEX-12ZZW-0005-SM-5O9BY	-9.9658	DLBC	Blood	SPN-203
GTEX-X62O-0005-SM-46MV1	-1.685	DLBC	Blood	SPN-203
GTEX-OXRP-0006-SM-2I3FN	-3.6259	DLBC	Blood	SPN-203
GTEX-TSE9-0005-SM-4DXUF	0.0718	DLBC	Blood	SPN-203
GTEX-QMRM-0005-SM-3NB2A	0.3685	DLBC	Blood	SPN-203
GTEX-PW2O-0006-SM-2I3DV	-5.5735	DLBC	Blood	SPN-203
GTEX-14A5H-0006-SM-5O9AI	-9.9658	DLBC	Blood	SPN-203
GTEX-RVPU-0005-SM-2TF6L	-1.2481	DLBC	Blood	SPN-203
GTEX-PSDG-0005-SM-3GADC	1.8957	DLBC	Blood	SPN-203
GTEX-Q2AI-0006-SM-2I3FG	-9.9658	DLBC	Blood	SPN-203
GTEX-T5JW-0005-SM-3GADE	-4.035	DLBC	Blood	SPN-203
GTEX-REY6-0005-SM-2TF54	-9.9658	DLBC	Blood	SPN-203
GTEX-ZVTK-0006-SM-57WBK	0.6239	DLBC	Blood	SPN-203
GTEX-PWOO-0006-SM-2I3E3	-9.9658	DLBC	Blood	SPN-203
GTEX-113JC-0006-SM-5O997	-1.0862	DLBC	Blood	SPN-203
GTEX-ZPIC-0005-SM-4WWEB	-9.9658	DLBC	Blood	SPN-203
GTEX-Y3I4-0006-SM-4TT1E	-1.3921	DLBC	Blood	SPN-203
GTEX-ZDTS-0006-SM-4WAYZ	2.7868	DLBC	Blood	SPN-203
GTEX-NPJ8-0007-SM-26GMW	0.4865	DLBC	Blood	SPN-203
GTEX-ZTSS-0005-SM-4YCDR	-1.0559	DLBC	Blood	SPN-203
GTEX-1211K-0006-SM-5MR53	-0.9406	DLBC	Blood	SPN-203
GTEX-YB5E-0005-SM-4VDSO	-9.9658	DLBC	Blood	SPN-203
GTEX-11O72-0006-SM-5O9DB	0.4016	DLBC	Blood	SPN-203
GTEX-12WSA-0005-SM-5O9BM	-1.2481	DLBC	Blood	SPN-203
GTEX-Q2AH-0005-SM-5SI7G	-0.1993	DLBC	Blood	SPN-203
GTEX-1399Q-0005-SM-5NQAG	-9.9658	DLBC	Blood	SPN-203
GTEX-12WSK-0006-SM-5NQA1	-5.5735	DLBC	Blood	SPN-203
GTEX-XAJ8-0006-SM-46MVM	1.4441	DLBC	Blood	SPN-203
GTEX-YFC4-0006-SM-4RGLV	2.4571	DLBC	Blood	SPN-203
GTEX-XMD1-0006-SM-4AT4Q	-1.1172	DLBC	Blood	SPN-203
GTEX-XLM4-0005-SM-4AT4P	3.4318	DLBC	Blood	SPN-203
GTEX-T6MO-0006-SM-32QOU	-1.1811	DLBC	Blood	SPN-203
GTEX-NL3H-0006-SM-2I3FW	-9.9658	DLBC	Blood	SPN-203
GTEX-XXEK-0005-SM-4BRWJ	-0.4131	DLBC	Blood	SPN-203
GTEX-PWCY-0005-SM-2I3E2	-9.9658	DLBC	Blood	SPN-203
GTEX-13OVJ-0006-SM-5O98T	-4.035	DLBC	Blood	SPN-203
GTEX-148VJ-0006-SM-5NQB1	-9.9658	DLBC	Blood	SPN-203
GTEX-13S86-0005-SM-5NQ7I	-9.9658	DLBC	Blood	SPN-203
GTEX-13FTX-0005-SM-5N9F6	0.1776	DLBC	Blood	SPN-203
GTEX-QVJO-0006-SM-2S1RC	-9.9658	DLBC	Blood	SPN-203
GTEX-12KS4-0005-SM-5SI94	1.8404	DLBC	Blood	SPN-203
GTEX-VJYA-0005-SM-3P5ZD	-0.2671	DLBC	Blood	SPN-203
GTEX-Q734-0006-SM-2I3FJ	-9.9658	DLBC	Blood	SPN-203
GTEX-ZGAY-0006-SM-4WWAQ	1.949	DLBC	Blood	SPN-203
GTEX-PLZ5-0006-SM-2S1NZ	-1.3183	DLBC	Blood	SPN-203
GTEX-R55E-0006-SM-2TC5G	2.328	DLBC	Blood	SPN-203
GTEX-12WSH-0005-SM-5NQ9P	-2.3147	DLBC	Blood	SPN-203
GTEX-14DAR-0006-SM-5N9GC	-9.9658	DLBC	Blood	SPN-203
GTEX-ZXG5-0005-SM-57WCN	1.7141	DLBC	Blood	SPN-203
GTEX-Y5V6-0005-SM-4V6FD	-2.8262	DLBC	Blood	SPN-203
GTEX-WOFL-0006-SM-3TW8K	-1.5951	DLBC	Blood	SPN-203
GTEX-11NV4-0005-SM-5N9EX	2.3649	DLBC	Blood	SPN-203
GTEX-P4PQ-0005-SM-2HMKJ	-9.9658	DLBC	Blood	SPN-203
GTEX-ZTTD-0006-SM-51MSJ	-1.7809	DLBC	Blood	SPN-203
GTEX-TKQ2-0006-SM-33HBH	0.4552	DLBC	Blood	SPN-203
GTEX-11OF3-0006-SM-5O9CM	0.8164	DLBC	Blood	SPN-203
GTEX-11P81-0006-SM-5NQ7A	-9.9658	DLBC	Blood	SPN-203
GTEX-S7SE-0005-SM-2XCEA	4.2847	DLBC	Blood	SPN-203
GTEX-12WSG-0005-SM-5NQA2	0.044	DLBC	Blood	SPN-203
GTEX-131YS-0005-SM-5NQAS	2.5876	DLBC	Blood	SPN-203
GTEX-14E1K-0006-SM-5N9DY	0.4125	DLBC	Blood	SPN-203
GTEX-X5EB-0006-SM-46MV5	-9.9658	DLBC	Blood	SPN-203
GTEX-Y111-0006-SM-4SOIO	2.0147	DLBC	Blood	SPN-203
GTEX-NPJ8-0007-SM-2D7VX	-9.9658	DLBC	Blood	SPN-203
GTEX-R53T-0005-SM-3GADK	-2.114	DLBC	Blood	SPN-203
GTEX-12WSJ-0005-SM-5LU8S	0.7999	DLBC	Blood	SPN-203
GTEX-Y3IK-0005-SM-4WWDE	-0.5125	DLBC	Blood	SPN-203
GTEX-TMZS-0006-SM-3DB8G	0.434	DLBC	Blood	SPN-203
GTEX-U3ZG-0006-SM-47JWX	-9.9658	DLBC	Blood	SPN-203
GTEX-1269C-0005-SM-5N9CJ	0.4125	DLBC	Blood	SPN-203
GTEX-12126-0006-SM-5O9B8	2.167	DLBC	Blood	SPN-203
GTEX-WHSB-0005-SM-3LK7C	-1.1172	DLBC	Blood	SPN-203
GTEX-RU72-0006-SM-2TF65	1.8363	DLBC	Blood	SPN-203
GTEX-13U4I-0006-SM-5N9CI	1.7053	DLBC	Blood	SPN-203
GTEX-OHPJ-0006-SM-3LK6G	2.7721	DLBC	Blood	SPN-203
GTEX-12WSD-0005-SM-5N9FZ	2.7636	DLBC	Blood	SPN-203
GTEX-14E7W-0006-SM-5N9GG	2.2783	DLBC	Blood	SPN-203
GTEX-ZUA1-0005-SM-4YCEV	1.4174	DLBC	Blood	SPN-203
GTEX-Q2AG-0005-SM-5SI7F	1.8918	DLBC	Blood	SPN-203
GTEX-QVUS-0006-SM-3GAE8	2.3677	DLBC	Blood	SPN-203
GTEX-NPJ7-0006-SM-3GACR	-0.8599	DLBC	Blood	SPN-203
GTEX-11EM3-0005-SM-5N9DK	-9.9658	DLBC	Blood	SPN-203
GTEX-WY7C-0006-SM-3NB3L	-0.7108	DLBC	Blood	SPN-203
GTEX-TML8-0005-SM-32QPA	0.24	DLBC	Blood	SPN-203
GTEX-X88G-0006-SM-47JX5	-9.9658	DLBC	Blood	SPN-203
GTEX-S341-0006-SM-3NM8D	0.0158	DLBC	Blood	SPN-203
GTEX-139TT-0006-SM-5O9CG	1.8119	DLBC	Blood	SPN-203
GTEX-OXRL-0005-SM-3LK6A	-2.114	DLBC	Blood	SPN-203
GTEX-11UD2-0005-SM-5NQ9B	0.2154	DLBC	Blood	SPN-203
GTEX-13VXT-0005-SM-5N9F3	-9.9658	DLBC	Blood	SPN-203
GTEX-WFJO-0005-SM-3GIKY	-9.9658	DLBC	Blood	SPN-203
GTEX-U412-0006-SM-3DB8J	1.884	DLBC	Blood	SPN-203
GTEX-13113-0006-SM-5NQ7X	-9.9658	DLBC	Blood	SPN-203
GTEX-WRHU-0006-SM-3MJF6	-9.9658	DLBC	Blood	SPN-203
GTEX-X585-0005-SM-46MV3	4.0225	DLBC	Blood	SPN-203
GTEX-117YW-0005-SM-5NQ8Z	2.8034	DLBC	Blood	SPN-203
GTEX-12584-0005-SM-5N9GM	-4.2934	DLBC	Blood	SPN-203
GTEX-14BMU-0006-SM-5MR3T	-9.9658	DLBC	Blood	SPN-203
GTEX-XBEW-0006-SM-4AT4E	-9.9658	DLBC	Blood	SPN-203
GTEX-13CZU-0005-SM-5LU8K	0.8726	DLBC	Blood	SPN-203
GTEX-ZF3C-0005-SM-4WWAR	2.3106	DLBC	Blood	SPN-203
GTEX-139TU-0006-SM-5LZVN	0.8082	DLBC	Blood	SPN-203
GTEX-13VXU-0006-SM-5N9FF	-0.7346	DLBC	Blood	SPN-203
GTEX-Y8LW-0005-SM-4V6EV	-5.5735	DLBC	Blood	SPN-203
GTEX-QDVN-0006-SM-48U1R	-1.8836	DLBC	Blood	SPN-203
GTEX-11DYG-0006-SM-5NQB2	0.7407	DLBC	Blood	SPN-203
