sample_id	TPM	cancer_type	tissue_type	transcript
GTEX-ZQUD-0005-SM-4YCE5	-0.0574	DLBC	Blood	SPN-202
GTEX-11ZTT-0006-SM-5N9FX	0.1648	DLBC	Blood	SPN-202
GTEX-WRHU-0006-SM-3MJF6	3.6195	DLBC	Blood	SPN-202
GTEX-WFJO-0005-SM-3GIKY	0.5666	DLBC	Blood	SPN-202
GTEX-ZDTS-0006-SM-4WAYZ	4.579	DLBC	Blood	SPN-202
GTEX-Y5V6-0005-SM-4V6FD	-0.2328	DLBC	Blood	SPN-202
GTEX-NPJ8-0007-SM-2D7VX	-0.9406	DLBC	Blood	SPN-202
GTEX-N7MS-0007-SM-26GME	2.5288	DLBC	Blood	SPN-202
GTEX-ZPIC-0005-SM-4WWEB	0.1388	DLBC	Blood	SPN-202
GTEX-WVLH-0006-SM-3MJF7	0.9568	DLBC	Blood	SPN-202
GTEX-ZDTT-0006-SM-4WKFP	1.0642	DLBC	Blood	SPN-202
GTEX-REY6-0005-SM-2TF54	1.9822	DLBC	Blood	SPN-202
GTEX-ZGAY-0006-SM-4WWAQ	2.9205	DLBC	Blood	SPN-202
GTEX-14BMU-0006-SM-5MR3T	-0.5125	DLBC	Blood	SPN-202
GTEX-NL3G-0007-SM-4SOIF	1.2085	DLBC	Blood	SPN-202
GTEX-1211K-0006-SM-5MR53	-0.9132	DLBC	Blood	SPN-202
GTEX-SJXC-0005-SM-2XCE7	3.7356	DLBC	Blood	SPN-202
GTEX-132Q8-0006-SM-5NQA4	1.5612	DLBC	Blood	SPN-202
GTEX-ZF28-0005-SM-4WKH3	1.2516	DLBC	Blood	SPN-202
GTEX-13S7M-0005-SM-5NQ76	2.8994	DLBC	Blood	SPN-202
GTEX-11NV4-0005-SM-5N9EX	5.3978	DLBC	Blood	SPN-202
GTEX-Q734-0006-SM-2I3FJ	1.8879	DLBC	Blood	SPN-202
GTEX-ZF3C-0005-SM-4WWAR	3.8023	DLBC	Blood	SPN-202
GTEX-11O72-0006-SM-5O9DB	2.7292	DLBC	Blood	SPN-202
GTEX-WYBS-0005-SM-4ONDR	2.1702	DLBC	Blood	SPN-202
GTEX-R45C-0006-SM-3GAD6	0.2762	DLBC	Blood	SPN-202
GTEX-13FTX-0005-SM-5N9F6	2.2693	DLBC	Blood	SPN-202
GTEX-WK11-0006-SM-3NB3J	3.9079	DLBC	Blood	SPN-202
GTEX-12WSB-0006-SM-5O998	5.911	DLBC	Blood	SPN-202
GTEX-RU1J-0006-SM-2TF6M	2.6232	DLBC	Blood	SPN-202
